,popu,area,year
0,99036,全国,1966
1,5187,北 海 道,1966
2,1418,青 森 県,1966
3,1403,岩 手 県,1966
4,1760,宮 城 県,1966
5,1270,秋 田 県,1966
6,1252,山 形 県,1966
7,1969,福 島 県,1966
8,2052,茨 城 県,1966
9,1523,栃 木 県,1966
10,1605,群 馬 県,1966
11,3161,埼 玉 県,1966
12,2783,千 葉 県,1966
13,11018,東 京 都,1966
14,4595,神奈川県,1966
15,2387,新 潟 県,1966
16,1022,富 山 県,1966
17,980,石 川 県,1966
18,746,福 井 県,1966
19,761,山 梨 県,1966
20,1950,長 野 県,1966
21,1701,岐 阜 県,1966
22,2933,静 岡 県,1966
23,4886,愛 知 県,1966
24,1514,三 重 県,1966
25,853,滋 賀 県,1966
26,2122,京 都 府,1966
27,6815,大 阪 府,1966
28,4360,兵 庫 県,1966
29,838,奈 良 県,1966
30,1028,和歌山県,1966
31,575,鳥 取 県,1966
32,810,島 根 県,1966
33,1648,岡 山 県,1966
34,2301,広 島 県,1966
35,1532,山 口 県,1966
36,808,徳 島 県,1966
37,896,香 川 県,1966
38,1437,愛 媛 県,1966
39,805,高 知 県,1966
40,3980,福 岡 県,1966
41,868,佐 賀 県,1966
42,1634,長 崎 県,1966
43,1762,熊 本 県,1966
44,1177,大 分 県,1966
45,1078,宮 崎 県,1966
46,1836,鹿児島県,1966
47,　　 －,沖 縄 県,1966
48,100196,全国,1967
49,5205,北 海 道,1967
50,1423,青 森 県,1967
51,1396,岩 手 県,1967
52,1774,宮 城 県,1967
53,1264,秋 田 県,1967
54,1247,山 形 県,1967
55,1963,福 島 県,1967
56,2064,茨 城 県,1967
57,1531,栃 木 県,1967
58,1617,群 馬 県,1967
59,3328,埼 玉 県,1967
60,2903,千 葉 県,1967
61,11162,東 京 都,1967
62,4800,神奈川県,1967
63,2383,新 潟 県,1967
64,1022,富 山 県,1967
65,985,石 川 県,1967
66,745,福 井 県,1967
67,762,山 梨 県,1967
68,1949,長 野 県,1967
69,1713,岐 阜 県,1967
70,2973,静 岡 県,1967
71,4999,愛 知 県,1967
72,1517,三 重 県,1967
73,858,滋 賀 県,1967
74,2154,京 都 府,1967
75,7009,大 阪 府,1967
76,4425,兵 庫 県,1967
77,856,奈 良 県,1967
78,1033,和歌山県,1967
79,573,鳥 取 県,1967
80,801,島 根 県,1967
81,1660,岡 山 県,1967
82,2331,広 島 県,1967
83,1525,山 口 県,1967
84,804,徳 島 県,1967
85,898,香 川 県,1967
86,1432,愛 媛 県,1967
87,801,高 知 県,1967
88,3999,福 岡 県,1967
89,865,佐 賀 県,1967
90,1627,長 崎 県,1967
91,1757,熊 本 県,1967
92,1171,大 分 県,1967
93,1075,宮 崎 県,1967
94,1819,鹿児島県,1967
95,　　 －,沖 縄 県,1967
96,101331,全国,1968
97,5213,北 海 道,1968
98,1426,青 森 県,1968
99,1390,岩 手 県,1968
100,1789,宮 城 県,1968
101,1256,秋 田 県,1968
102,1240,山 形 県,1968
103,1955,福 島 県,1968
104,2079,茨 城 県,1968
105,1543,栃 木 県,1968
106,1629,群 馬 県,1968
107,3492,埼 玉 県,1968
108,3032,千 葉 県,1968
109,11286,東 京 都,1968
110,5024,神奈川県,1968
111,2376,新 潟 県,1968
112,1022,富 山 県,1968
113,989,石 川 県,1968
114,744,福 井 県,1968
115,761,山 梨 県,1968
116,1950,長 野 県,1968
117,1723,岐 阜 県,1968
118,3011,静 岡 県,1968
119,5124,愛 知 県,1968
120,1522,三 重 県,1968
121,865,滋 賀 県,1968
122,2187,京 都 府,1968
123,7213,大 阪 府,1968
124,4496,兵 庫 県,1968
125,877,奈 良 県,1968
126,1037,和歌山県,1968
127,571,鳥 取 県,1968
128,791,島 根 県,1968
129,1672,岡 山 県,1968
130,2367,広 島 県,1968
131,1515,山 口 県,1968
132,798,徳 島 県,1968
133,899,香 川 県,1968
134,1425,愛 媛 県,1968
135,796,高 知 県,1968
136,4009,福 岡 県,1968
137,856,佐 賀 県,1968
138,1613,長 崎 県,1968
139,1742,熊 本 県,1968
140,1164,大 分 県,1968
141,1069,宮 崎 県,1968
142,1792,鹿児島県,1968
143,　　 －,沖 縄 県,1968
144,102536,全国,1969
145,5210,北 海 道,1969
146,1429,青 森 県,1969
147,1382,岩 手 県,1969
148,1803,宮 城 県,1969
149,1249,秋 田 県,1969
150,1233,山 形 県,1969
151,1951,福 島 県,1969
152,2109,茨 城 県,1969
153,1559,栃 木 県,1969
154,1643,群 馬 県,1969
155,3670,埼 玉 県,1969
156,3195,千 葉 県,1969
157,11367,東 京 都,1969
158,5240,神奈川県,1969
