,株数,信用取引株数,金額,信用取引金額,year,area
0,42039745060,,6092539742056,,1966,東京
1,35367125674,,5192617150104,,1967,東京
2,55333432984,,9465329690395,,1968,東京
3,35791458605,,9577369468930,,1969,東京
4,30186014951,,6557046141869,,1970,東京
5,43719286,,10275771498,,1971,東京
6,81715463,,18604477022,,1972,東京
7,50965175,,13577658767,,1973,東京
8,40528277,,10268753119,,1974,東京
9,41028405,,12554695974,,1975,東京
10,55000194,,19266802745,,1976,東京
11,55868683,,17990112083,,1977,東京
12,80915002,,28051865871,,1978,東京
13,77427735,,28229882220,,1979,東京
14,80462061,,29994171928,,1980,東京
15,86516960,,40568350741,,1981,東京
16,62670078,,30992409649,,1982,東京
17,90483178,,51748552053,,1983,東京
18,100596207,,70305881235,,1984,東京
19,118797264,,81534200717,,1985,東京
20,199896474,34824340,162474350599,26773438190,1986,東京
21,282943611,46094743,288807412444,38026810648,1987,東京
22,302668194,57700467,324635797609,54556414101,1988,東京
23,265504675,35397201,407669135,50946404,1989,東京
24,155593273,22382188,264747236,33871875,1990,東京
25,115149355,19247014,157601401,22101793,1991,東京
26,88168865,10503771,88949463,9819848,1992,東京
27,108220375,11467359,119715883,10663333,1993,東京
28,116456787,9245617,136547524,8866582,1994,東京
29,121976584,11693516,130342122,9126614,1995,東京
30,127778086,12383710,151945936,10288373,1996,東京
31,141262166,10258260,167239897,7402949,1997,東京
32,142930644,13328832,140110596,6274038,1998,東京
33,182255683,20216244,235946723,20471188,1999,東京
