,株数,信用取引株数,金額,信用取引金額,year,area
0,64292406,,8304954200,,1966,北海道
1,,,,,1966,青森
2,,,,,1966,秋田
3,,,,,1966,岩手
4,,,,,1966,山形
5,,,,,1966,宮城
6,,,,,1966,福島
7,42039745060,,6092539742056,,1966,東京
8,175326163,,22670656948,,1966,新潟
9,,,,,1966,神奈川
10,,,,,1966,千葉
11,,,,,1966,茨城
12,,,,,1966,栃木
13,,,,,1966,埼玉
14,,,,,1966,群馬
15,,,,,1966,長野
16,,,,,1966,山梨
17,,,,,1966,沖縄
18,,,,,1966,愛知
19,2187073937,,320657296628,,1966,名古屋
20,,,,,1966,静岡
21,,,,,1966,岐阜
22,,,,,1966,三重
23,14259694045,,1992891914568,,1966,大阪
24,434110230,,64787714550,,1966,京都
25,,,,,1966,奈良
26,,,,,1966,和歌山
27,,,,,1966,兵庫
28,371523631,,52288639818,,1966,神戸
29,,,,,1966,滋賀
30,381231280,,52772509180,,1966,広島
31,,,,,1966,鳥取
32,,,,,1966,島根
33,,,,,1966,岡山
34,,,,,1966,山口
35,,,,,1966,富山
36,,,,,1966,石川
37,,,,,1966,福井
38,,,,,1966,福岡
39,170189022,,22313962216,,1966,九州
40,,,,,1966,佐賀
41,,,,,1966,長崎
42,,,,,1966,大分
43,,,,,1966,熊本
44,,,,,1966,宮崎
45,,,,,1966,鹿児島
46,,,,,1966,香川
47,,,,,1966,徳島
48,,,,,1966,高知
49,,,,,1966,愛媛
50,60083185774,0,8629227390164,0,1966,合計
0,50408200,,6819515250,,1967,北海道
1,,,,,1967,青森
2,,,,,1967,秋田
3,,,,,1967,岩手
4,,,,,1967,山形
5,,,,,1967,宮城
6,,,,,1967,福島
7,35367125674,,5192617150104,,1967,東京
8,123450797,,15642281549,,1967,新潟
9,,,,,1967,神奈川
10,,,,,1967,千葉
11,,,,,1967,茨城
12,,,,,1967,栃木
13,,,,,1967,埼玉
14,,,,,1967,群馬
15,,,,,1967,長野
16,,,,,1967,山梨
17,,,,,1967,沖縄
18,,,,,1967,愛知
19,2344134654,,349762335344,,1967,名古屋
20,,,,,1967,静岡
21,,,,,1967,岐阜
22,,,,,1967,三重
23,12275636052,,1757789048341,,1967,大阪
24,397365951,,80602551006,,1967,京都
25,,,,,1967,奈良
26,,,,,1967,和歌山
27,,,,,1967,兵庫
28,205202357,,27546947035,,1967,神戸
29,,,,,1967,滋賀
30,215546733,,28833101508,,1967,広島
31,,,,,1967,鳥取
32,,,,,1967,島根
33,,,,,1967,岡山
34,,,,,1967,山口
35,,,,,1967,富山
36,,,,,1967,石川
37,,,,,1967,福井
38,,,,,1967,福岡
39,134121400,,16689932900,,1967,九州
40,,,,,1967,佐賀
41,,,,,1967,長崎
42,,,,,1967,大分
43,,,,,1967,熊本
44,,,,,1967,宮崎
45,,,,,1967,鹿児島
46,,,,,1967,香川
47,,,,,1967,徳島
48,,,,,1967,高知
49,,,,,1967,愛媛
50,51112991818,0,7476302863037,0,1967,合計
0,346008510,,66205332600,,1968,北海道
1,36172000,,7044334100,,1968,青森
2,51284100,,10584069100,,1968,秋田
3,10048200,,2020340100,,1968,岩手
4,33788200,,6392125850,,1968,山形
5,130487200,,24439875100,,1968,宮城
6,91108200,,16522477536,,1968,福島
7,55333432984,,9465329690395,,1968,東京
8,336496355,,59442221708,,1968,新潟
9,504201884,,100808376394,,1968,神奈川
10,154128550,,29725626050,,1968,千葉
11,89351550,,17812339700,,1968,茨城
12,81548600,,16325952800,,1968,栃木
13,83504300,,15875880400,,1968,埼玉
14,161334300,,32650853700,,1968,群馬
15,60480100,,11399879700,,1968,長野
16,40620100,,7702476800,,1968,山梨
17,,,,,1968,沖縄
18,1382676067,,283597718127,,1968,愛知
19,2235983624,,398724436874,,1968,名古屋
20,473565114,,93113469438,,1968,静岡
21,149628650,,29621803750,,1968,岐阜
22,185202100,,33008185061,,1968,三重
23,18490385289,,3125475206098,,1968,大阪
24,715402350,,131163766850,,1968,京都
25,105230143,,23683607708,,1968,奈良
26,173565500,,33712625400,,1968,和歌山
27,743763200,,143959940950,,1968,兵庫
28,327435800,,55400582000,,1968,神戸
29,26576900,,5227017600,,1968,滋賀
30,643640459,,119496443604,,1968,広島
31,20236800,,3557048700,,1968,鳥取
32,43739700,,7733452900,,1968,島根
33,205200150,,39598873850,,1968,岡山
34,147664501,,27435441119,,1968,山口
35,142930182,,26617453424,,1968,富山
36,82364409,,15534575603,,1968,石川
37,82305000,,17066070100,,1968,福井
38,505358369,,96554380648,,1968,福岡
39,126220150,,19114344000,,1968,九州
40,35387630,,7393189125,,1968,佐賀
41,79027347,,15099007152,,1968,長崎
42,40085600,,7002864300,,1968,大分
43,82256592,,15167667862,,1968,熊本
44,23642900,,4003585700,,1968,宮崎
45,49736650,,9143059350,,1968,鹿児島
46,119615400,,25108327900,,1968,香川
47,73689370,,16625020320,,1968,徳島
48,65403100,,13453095150,,1968,高知
49,127961400,,24890902330,,1968,愛媛
50,85249875579,0,14757565015026,0,1968,合計
0,1293084442,,360165459408,,1969,北海道
1,174799022,,46478054050,,1969,青森
2,236741332,,60217678169,,1969,秋田
3,44826900,,9874772300,,1969,岩手
4,159666135,,39856234595,,1969,山形
5,578590996,,150301099387,,1969,宮城
6,420848601,,102117986777,,1969,福島
7,35791458605,,9577369468930,,1969,東京
8,958527109,,261096144827,,1969,新潟
9,2545466082,,656325818812,,1969,神奈川
10,729204377,,190436878414,,1969,千葉
11,443019215,,116531927173,,1969,茨城
12,380695048,,99489749344,,1969,栃木
13,411710734,,105446998012,,1969,埼玉
14,737085444,,187131632336,,1969,群馬
15,295473910,,79221152100,,1969,長野
16,209407250,,51894016800,,1969,山梨
17,,,,,1969,沖縄
18,6440795178,,1738259215578,,1969,愛知
19,,,,,1969,名古屋
20,2250915322,,621560805979,,1969,静岡
21,757148178,,195134752789,,1969,岐阜
22,817885123,,182498553168,,1969,三重
