,株数,信用取引株数,金額,信用取引金額,year,area
0,64292.406,,8304.9542,,1966,北海道
1,,,,,1966,青森
2,,,,,1966,秋田
3,,,,,1966,岩手
4,,,,,1966,山形
5,,,,,1966,宮城
6,,,,,1966,福島
7,42039745.06,,6092539.742056,,1966,東京
8,175326.163,,22670.656948,,1966,新潟
9,,,,,1966,神奈川
10,,,,,1966,千葉
11,,,,,1966,茨城
12,,,,,1966,栃木
13,,,,,1966,埼玉
14,,,,,1966,群馬
15,,,,,1966,長野
16,,,,,1966,山梨
17,,,,,1966,沖縄
18,,,,,1966,愛知
19,2187073.937,,320657.29662800004,,1966,名古屋
20,,,,,1966,静岡
21,,,,,1966,岐阜
22,,,,,1966,三重
23,14259694.045,,1992891.914568,,1966,大阪
24,434110.23,,64787.71455,,1966,京都
25,,,,,1966,奈良
26,,,,,1966,和歌山
27,,,,,1966,兵庫
28,371523.631,,52288.639818,,1966,神戸
29,,,,,1966,滋賀
30,381231.28,,52772.50918,,1966,広島
31,,,,,1966,鳥取
32,,,,,1966,島根
33,,,,,1966,岡山
34,,,,,1966,山口
35,,,,,1966,富山
36,,,,,1966,石川
37,,,,,1966,福井
38,,,,,1966,福岡
39,170189.022,,22313.962216,,1966,九州
40,,,,,1966,佐賀
41,,,,,1966,長崎
42,,,,,1966,大分
43,,,,,1966,熊本
44,,,,,1966,宮崎
45,,,,,1966,鹿児島
46,,,,,1966,香川
47,,,,,1966,徳島
48,,,,,1966,高知
49,,,,,1966,愛媛
50,60083185.774,0,8629227.390163999,0.0,1966,合計
51,50408.2,,6819.51525,,1967,北海道
52,,,,,1967,青森
53,,,,,1967,秋田
54,,,,,1967,岩手
55,,,,,1967,山形
56,,,,,1967,宮城
57,,,,,1967,福島
58,35367125.674,,5192617.150104,,1967,東京
59,123450.797,,15642.281549000001,,1967,新潟
60,,,,,1967,神奈川
61,,,,,1967,千葉
62,,,,,1967,茨城
63,,,,,1967,栃木
64,,,,,1967,埼玉
65,,,,,1967,群馬
66,,,,,1967,長野
67,,,,,1967,山梨
68,,,,,1967,沖縄
69,,,,,1967,愛知
70,2344134.654,,349762.33534399996,,1967,名古屋
71,,,,,1967,静岡
72,,,,,1967,岐阜
73,,,,,1967,三重
74,12275636.052,,1757789.048341,,1967,大阪
75,397365.951,,80602.551006,,1967,京都
76,,,,,1967,奈良
77,,,,,1967,和歌山
78,,,,,1967,兵庫
79,205202.357,,27546.947035,,1967,神戸
80,,,,,1967,滋賀
81,215546.733,,28833.101508,,1967,広島
82,,,,,1967,鳥取
83,,,,,1967,島根
84,,,,,1967,岡山
85,,,,,1967,山口
86,,,,,1967,富山
87,,,,,1967,石川
88,,,,,1967,福井
89,,,,,1967,福岡
90,134121.4,,16689.9329,,1967,九州
91,,,,,1967,佐賀
92,,,,,1967,長崎
93,,,,,1967,大分
94,,,,,1967,熊本
95,,,,,1967,宮崎
96,,,,,1967,鹿児島
97,,,,,1967,香川
98,,,,,1967,徳島
99,,,,,1967,高知
100,,,,,1967,愛媛
101,51112991.818,0,7476302.8630369995,0.0,1967,合計
102,346008.51,,66205.3326,,1968,北海道
103,36172.0,,7044.3341,,1968,青森
104,51284.1,,10584.069099999999,,1968,秋田
105,10048.2,,2020.3401000000001,,1968,岩手
