,年,始値,高値,安値,終値,前年比%,値幅%
0,1961,1366.74,1829.74,1258.0,1432.6,,41.83238948154002
1,1962,1425.3,1589.76,1216.04,1420.43,-0.849504397598766,26.220444818634675
2,1963,1418.25,1634.37,1200.64,1225.1,-13.75146962539514,30.582055349903037
3,1964,1204.4,1369.0,1202.69,1216.55,-0.6979022120643164,13.80853537030886
4,1965,1227.11,1417.83,1020.49,1417.83,16.54514816489252,32.38014521925499
5,1966,1430.13,1588.73,1364.34,1452.1,2.417073979249973,15.690182011425541
6,1967,1441.35,1506.27,1250.14,1283.47,-11.61283658150264,17.770146043639638
7,1968,1266.27,1851.49,1266.27,1714.89,33.613563230928655,46.21605186887473
8,1969,1733.64,2358.96,1733.64,2358.96,37.557510977380474,36.06977227105973
9,1970,2402.85,2534.45,1929.64,1987.14,-15.762030725404408,25.17052666625048
10,1971,2001.34,2740.98,1981.74,2713.74,36.56511368096862,37.936582489731876
11,1972,2712.31,5207.94,2712.31,5207.94,91.91005770633885,92.01123765351305
12,1973,5232.86,5359.74,3958.57,4306.8,-17.303194737266548,26.776370856472365
13,1974,4259.2,4787.54,3355.13,3817.22,-11.367604718120194,33.63096356123215
14,1975,3777.4,4564.52,3627.04,4358.6,14.182572657588533,24.818128871710712
15,1976,4403.06,4990.85,4403.06,4990.85,14.505804616161155,13.349579610543575
16,1977,4998.85,5287.65,4597.26,4865.6,-2.509592554374507,13.810976524600646
17,1978,4867.91,6097.26,4867.91,6001.85,23.3527211443604,25.25416451824295
18,1979,6041.57,6590.69,5925.87,6569.47,9.457417296333626,11.004093306872216
19,1980,6560.16,7188.28,6475.93,7116.38,8.325024697578343,10.858729055388885
20,1981,7150.95,8019.14,6956.52,7681.84,7.945893839283458,14.859843796978023
21,1982,7718.84,8026.99,6849.78,8016.67,4.358721348010364,15.25112581683258
22,1983,8021.4,9893.82,7803.18,9893.82,23.41558277938345,26.063280724063127
23,1984,9927.11,11577.44,9703.35,11542.6,16.66474627595813,18.87850542605048
24,1985,11558.06,13128.94,11545.16,13113.32,13.608025921369538,13.702818639114184
25,1986,13136.87,18936.24,12881.5,18701.3,42.61300723234085,46.08966976151854
26,1987,18820.55,26646.43,18544.05,21564.0,15.307491992535294,43.05070786985503
27,1988,21217.04,30159.0,21217.04,30159.0,39.858096828046754,42.14518142021696
28,1989,30243.66,38915.87,30183.79,38915.87,29.035677575516438,28.872431445135945
29,1990,38712.88,38712.88,20221.86,23848.71,-38.717263676746796,47.76451661565866
30,1991,24069.18,27146.91,21456.76,22983.77,-3.6267789746279755,23.640813687878033
31,1992,23801.18,23801.18,14309.41,16924.95,-26.361297559103658,39.87940934020918
32,1993,16994.08,21148.11,16078.71,17417.24,2.9086644273690565,29.830387993936718
33,1994,17369.74,21552.81,17369.74,19723.06,13.238722093741595,24.08251361275413
34,1995,19684.04,20011.76,14485.41,19868.15,0.7356363566302537,28.075283325983886
35,1996,20618.0,22666.8,19161.71,19361.35,-2.5508162561688086,17.000145503928607
36,1997,19446.0,20681.07,14775.22,15258.74,-21.189689768533693,30.37051321608557
37,1998,14956.84,17264.34,12879.97,13842.17,-9.283663002318665,29.313477980642975
38,1999,13415.89,18934.34,13232.74,18934.34,36.78736787656849,42.498857697849346
39,2000,19002.86,20833.21,13423.21,13785.69,-27.19212816501657,38.994130357219916
40,2001,13691.49,14529.41,9504.41,10542.62,-23.524901546458675,36.7016299906
41,2002,10871.49,11979.85,8303.39,8578.95,-18.626015165110754,33.81744360708607
42,2003,8713.33,11161.71,7607.88,10676.64,24.45159372650498,40.786128839375976
43,2004,10825.17,12163.89,10365.4,11488.76,7.606512910428753,16.613965415785618
44,2005,11517.75,16344.2,10825.39,16111.43,40.236457198165866,47.91569533980162
45,2006,16361.54,17563.37,14218.6,17225.83,6.916828611737147,20.442880071191333
46,2007,17353.67,18261.98,14837.66,15307.78,-11.1347319693739,19.73254072481498
47,2008,14691.41,14691.41,7162.9,8859.56,-42.12380893898398,51.24429853907828
48,2009,9043.12,10639.71,7054.98,10546.44,19.040223216502874,39.64041171631029
49,2010,10654.79,11339.3,8824.06,10228.92,-3.0106841739961587,23.606659539981546
50,2011,10398.1,10857.53,8160.01,8455.35,-17.338780633732586,25.942431790423253
51,2012,8560.11,10395.18,8295.63,10395.18,22.94204261207402,24.527138085842363
52,2013,10688.11,16291.31,10486.99,16291.31,56.71984515900637,54.30632731137685
53,2014,15908.88,17935.64,13910.16,17450.77,7.117045836092983,25.30335259301723
54,2015,17408.71,20868.03,16795.96,19033.71,9.070889135551031,23.390992210221203
55,2016,18450.98,19494.53,14952.02,19114.37,0.4237744506982555,24.619342712419602
56,2017,19594.16,22939.18,18335.63,22764.94,19.098563018294623,23.49450040216064
57,2018,23506.33,24270.62,19155.74,20014.77,-12.08072588814202,21.75958560949326
58,2019,19561.96,20427.06,19561.96,20359.7,1.7233772858743723,4.422358495774463
